sn,spp,mrca1,mrca2,position,source,,,
209,Aedes_OchlerotatusJuppius_juppi,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
210,Aedes_OchlerotatusOchlerotatus_angustivittatus,,,keep,S2017,,,
211,Aedes_OchlerotatusOchlerotatus_crinifer,,,keep,S2017,,,
212,Aedes_OchlerotatusOchlerotatus_euplocamus,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
213,Aedes_OchlerotatusOchlerotatus_infirmatus,,,keep,S2017,,,
214,Aedes_OchlerotatusOchlerotatus_obturbator,,,keep,S2017,,,
215,Aedes_OchlerotatusOchlerotatus_scapularis,,,keep,S2017,,,
216,Aedes_OchlerotatusOchlerotatus_thelcter,,,keep,S2017,,,
217,Aedes_OchlerotatusOchlerotatus_tortilis,,,keep,S2017,,,
218,Aedes_OchlerotatusOchlerotatus_trivittatus,,,keep,S2017,,,
219,Aedes_OchlerotatusPholeomyia_flavifrons,Aedes_Ochlerotatus_vittiger,Aedes_Ochlerotatus_sagax,0,S2023,,,
220,Aedes_OchlerotatusProtoculex_atlanticus,,,keep,S2017,,,
221,Aedes_OchlerotatusProtoculex_dupreei,,,keep,S2017,,,
222,Aedes_OchlerotatusProtoculex_hastatus,Aedes_OchlerotatusProtoculex_atlanticus,Aedes_OchlerotatusProtoculex_pertinax,0,genbank,,,
223,Aedes_OchlerotatusProtoculex_pertinax,,,keep,S2017,,,
224,Aedes_OchlerotatusProtoculex_serratus,Aedes_OchlerotatusProtoculex_atlanticus,Aedes_OchlerotatusProtoculex_pertinax,0,genbank,,,
225,Aedes_OchlerotatusProtoculex_tormentor,,,keep,S2017,,,
226,Aedes_OchlerotatusProtomacleayaSA_brelandi,,,keep,S2017,,,
227,Aedes_OchlerotatusProtomacleayaSA_burgeri,,,keep,S2017,,,
228,Aedes_OchlerotatusProtomacleayaSA_chionotum,Aedes_OchlerotatusProtomacleayaSA_hendersoni,Aedes_OchlerotatusProtomacleayaSA_brelandi,0,genbank,,,
229,Aedes_OchlerotatusProtomacleayaSA_gabriel,Aedes_OchlerotatusProtomacleayaSA_hendersoni,Aedes_OchlerotatusProtomacleayaSA_brelandi,0,genbank,,,
230,Aedes_OchlerotatusProtomacleayaSA_hendersoni,,,keep,S2017,,,
231,Aedes_OchlerotatusProtomacleayaSA_insolitus,Aedes_OchlerotatusProtomacleayaSA_hendersoni,Aedes_OchlerotatusProtomacleayaSA_brelandi,0,genbank,,,
232,Aedes_OchlerotatusProtomacleayaSA_podographicus,Aedes_OchlerotatusProtomacleayaSA_hendersoni,Aedes_OchlerotatusProtomacleayaSA_brelandi,0,genbank,,,
233,Aedes_OchlerotatusProtomacleayaSA_sandrae,Aedes_OchlerotatusProtomacleayaSA_hendersoni,Aedes_OchlerotatusProtomacleayaSA_brelandi,0,genbank,,,
234,Aedes_OchlerotatusProtomacleayaSA_tehuantepec,Aedes_OchlerotatusProtomacleayaSA_hendersoni,Aedes_OchlerotatusProtomacleayaSA_brelandi,0,genbank,,,
235,Aedes_OchlerotatusProtomacleayaSA_terrens,,,keep,S2017,,,
236,Aedes_OchlerotatusProtomacleayaSA_triseriatus,,,keep,S2017,,,
237,Aedes_OchlerotatusProtomacleayaSA_vargasi,Aedes_OchlerotatusProtomacleayaSA_hendersoni,Aedes_OchlerotatusProtomacleayaSA_brelandi,0,genbank,,,
238,Aedes_OchlerotatusProtomacleayaSA_zoosophus,,,keep,S2017,,,
239,Aedes_OchlerotatusPseudoskusea_bancroftianus,,,keep,S2017,,,
240,Aedes_OchlerotatusPseudoskusea_multiplex,Aedes_OchlerotatusPseudoskusea_bancroftianus,Aedes_Ochlerotatus_vittiger,0,S2023,,,
241,Aedes_OchlerotatusReinertiaSA_suffusus,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
242,Aedes_OchlerotatusRusticoidus_bicristatus,,,keep,S2017,,,
243,Aedes_OchlerotatusRusticoidus_provocans,Aedes_OchlerotatusRusticoidus_rusticus,,4,S2017,,,
244,Aedes_OchlerotatusRusticoidus_refiki,Aedes_OchlerotatusRusticoidus_rusticus,,4,S2017,,,
245,Aedes_OchlerotatusRusticoidus_rusticus,,,keep,S2017,,,
246,Aedes_OchlerotatusWoodius_diantaeus,,,keep,S2017,,,
247,Aedes_OchlerotatusWoodius_intrudens,,,keep,S2017,,,
248,Aedes_OrohylomyiaSA_yunnanensis,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
249,Aedes_Paraedes_barraudi,Aedes_Paraedes_collessi,,4,S2017,,,
250,Aedes_Paraedes_collessi,,,keep,S2017,,,
251,Aedes_Patmarksia_palmarum,Aedes_Dobrotworskyius_rubrithorax,Aedes_Dobrotworskyius_alboannulatus,1,S2023,,,
252,Aedes_Petermattinglyius_iyengari,,,keep,S2017,,,
253,Aedes_Phagomyia_assamensis,Aedes_Phagomyia_watasei,,4,S2017,,,
254,Aedes_Phagomyia_khazani,Aedes_Phagomyia_watasei,,4,S2017,,,
255,Aedes_Phagomyia_prominens,Aedes_Phagomyia_watasei,,4,S2017,,,
256,Aedes_Phagomyia_watasei,,,keep,S2017,,,
257,Aedes_Polyleptiomyia_albocephalus,,,keep,S2017,,,
258,Aedes_Rampamyia_notoscriptus,,,keep,S2017,,,
259,Aedes_Rampamyia_quinquelineatus,Aedes_Rampamyia_notoscriptus,,2,S2023,,,
260,Aedes_Rhinoskusea_portonovoensis,Aedes_Rhinoskusea_wardi,,4,S2017,,,
261,Aedes_Rhinoskusea_wardi,,,keep,S2017,,,
262,Aedes_Scutomyia_albolineatus,,,keep,S2017,,,
263,Aedes_Skusea_pembaensis,Aedes_Diceromyia_taylori,Aedes_Cornetius_cozi,0,S2023,,,
264,Aedes_Stegomyia_aegypti,,,keep,S2017,,,
265,Aedes_Stegomyia_africanus,,,keep,S2017,,,
266,Aedes_Stegomyia_albopictus,,,keep,S2017,,,
267,Aedes_Stegomyia_annandalei,,,keep,S2017,,,
268,Aedes_Stegomyia_bromeliae,,,keep,S2017,,,
269,Aedes_Stegomyia_chemulpoensis,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
270,Aedes_Stegomyia_contiguus,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
271,Aedes_Stegomyia_craggi,,,keep,S2017,,,
272,Aedes_Stegomyia_cretinus,,,keep,S2017,,,
273,Aedes_Stegomyia_daitensis,,,keep,S2017,,,
274,Aedes_Stegomyia_denderensis,,,keep,S2017,,,
275,Aedes_Stegomyia_desmotes,,,keep,S2017,,,
276,Aedes_Stegomyia_downsi,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
277,Aedes_Stegomyia_dybasi,,,keep,S2017,,,
278,Aedes_Stegomyia_flavopictus,,,keep,S2017,,,
279,Aedes_Stegomyia_futunae,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
280,Aedes_Stegomyia_galloisi,,,keep,S2017,,,
281,Aedes_Stegomyia_hensilli,,,keep,S2017,,,
282,Aedes_Stegomyia_imitator,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
283,Aedes_Stegomyia_ledgeri,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
284,Aedes_Stegomyia_lilii,,,keep,S2017,,,
285,Aedes_Stegomyia_luteocephalus,,,keep,S2017,,,
286,Aedes_Stegomyia_maehleri,,,keep,S2017,,,
287,Aedes_Stegomyia_malayensis,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
288,Aedes_Stegomyia_malikuli,,,keep,S2017,,,
289,Aedes_Stegomyia_mascarensis,,,keep,S2017,,,
290,Aedes_Stegomyia_metallicus,,,keep,S2017,,,
291,Aedes_Stegomyia_miyarai,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
292,Aedes_Stegomyia_palauensis,,,keep,S2017,,,
293,Aedes_Stegomyia_pia,,,keep,S2017,,,
294,Aedes_Stegomyia_polynesiensis,,,keep,S2017,,,
295,Aedes_Stegomyia_pseudalbopictus,,,keep,S2017,,,
296,Aedes_Stegomyia_pseudoscutellaris,,,keep,S2017,,,
297,Aedes_Stegomyia_riversi,,,keep,S2017,,,
298,Aedes_Stegomyia_scutellaris,,,keep,S2017,,,
299,Aedes_Stegomyia_simpsoni,,,keep,S2017,,,
300,Aedes_Stegomyia_spMadagascar,Aedes_Stegomyia_mascarensis,Aedes_Stegomyia_aegypti,0,S2023,,,
301,Aedes_Stegomyia_subalbopictus,,,keep,S2017,,,
302,Aedes_Stegomyia_subargenteus,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
303,Aedes_Stegomyia_tongae,,,keep,S2017,,,
304,Aedes_Stegomyia_unalom,Aedes_Stegomyia_albopictus,Aedes_Stegomyia_aegypti,0,genbank,,,
305,Aedes_Stegomyia_unilineatus,,,keep,S2017,,,
306,Aedes_Stegomyia_wadai,,,keep,S2017,,,
307,Aedes_Stegomyia_w-albus,,,keep,S2017,,,
308,Aedes_Tanakaius_savoryi,,,keep,S2017,,,
